"","Tree type","Tree size","Rejection rate","Median alpha (95% HPD)"
"1","b/d = 0",25,0.021,"0.132 (0.025-1.876)"
"2","b/d = 0",50,0.003,"0.063 (0.017-0.494)"
"3","b/d = 0",100,0.001,"0.041 (0.012-0.304)"
"4","b/d = 0",150,0.001,"0.033 (0.009-0.227)"
"5","b/d = 0",200,0.002,"0.026 (0.008-0.186)"
"6","b/d = 0",500,0,"0.016 (0.005-0.105)"
"7","b/d = 0",1000,0,"0.011 (0.004-0.072)"
"8","b/d = 0.25",25,0.009,"0.1 (0.021-1.189)"
"9","b/d = 0.25",50,0.001,"0.051 (0.013-0.42)"
"10","b/d = 0.25",100,0.002,"0.035 (0.01-0.235)"
"11","b/d = 0.25",150,0,"0.028 (0.007-0.194)"
"12","b/d = 0.25",200,0.001,"0.024 (0.007-0.149)"
"13","b/d = 0.25",500,0,"0.013 (0.004-0.093)"
"14","b/d = 0.25",1000,0,"0.009 (0.003-0.057)"
"15","b/d = 0.5",25,0.009,"0.077 (0.015-0.922)"
"16","b/d = 0.5",50,0.002,"0.041 (0.01-0.334)"
"17","b/d = 0.5",100,0,"0.029 (0.007-0.184)"
"18","b/d = 0.5",150,0,"0.02 (0.005-0.138)"
"19","b/d = 0.5",200,0,"0.016 (0.005-0.122)"
"20","b/d = 0.5",500,0,"0.011 (0.003-0.068)"
"21","b/d = 0.5",1000,0,"0.007 (0.002-0.046)"
"22","b/d = 0.75",25,0.008,"0.047 (0.009-0.683)"
"23","b/d = 0.75",50,0,"0.027 (0.006-0.236)"
"24","b/d = 0.75",100,0,"0.016 (0.004-0.127)"
"25","b/d = 0.75",150,0,"0.014 (0.004-0.095)"
"26","b/d = 0.75",200,0.001,"0.011 (0.003-0.084)"
"27","b/d = 0.75",500,0,"0.007 (0.002-0.044)"
"28","b/d = 0.75",1000,0,"0.004 (0.001-0.028)"
